model_family,reported_dim,ambient_latent_dim,seed,selected_epoch,best_eval_recon_loss,best_eval_total_loss,best_eval_kl,concentration_mean,concentration_q95,concentration_max,wall_clock_training_s,final_eval_recon_loss,final_eval_total_loss,final_eval_kl,run_dir
vmf,3,4,0,39,117.658858673482,126.70767752731902,9.048818853837025,1007.2002755004883,1550.0257507324218,2304.82861328125,291.01746803399874,117.70093420487416,126.78564115113849,9.084707272203662,experiments/mnist/outputs/benchmark/vmf/dim_3/seed_0
vmf,2,3,1,39,131.31878729711605,138.12933291664606,6.810545486739919,1343.2694126922606,2511.591748046874,4021.501708984375,294.3876827820204,131.72708834877497,138.59117213381995,6.864083326315578,experiments/mnist/outputs/benchmark/vmf/dim_2/seed_1
vmf,2,3,4,40,130.58636020708687,137.49615748924546,6.909796998470644,1467.4290341247558,2640.639721679687,4268.6669921875,293.5393153859768,130.72246348706983,137.6322607692284,6.909796998470644,experiments/mnist/outputs/benchmark/vmf/dim_2/seed_4
vmf,2,3,3,37,133.82575525211382,140.53248065031028,6.706725639632985,1173.5610272735596,1930.5035156249996,3246.693115234375,292.030699681025,133.77748764617533,140.54288328146632,6.765394705760328,experiments/mnist/outputs/benchmark/vmf/dim_2/seed_3
vmf,2,3,2,40,131.48237822327434,138.3011745018295,6.818796574314939,1315.216419921875,2170.1815185546875,3312.04052734375,294.5055720550008,131.4253792098806,138.24417587473422,6.818796574314939,experiments/mnist/outputs/benchmark/vmf/dim_2/seed_2
vmf,2,3,0,39,132.95824953875965,139.74591209315045,6.787662578534476,1284.9602860595703,2280.1146118164056,3435.95751953125,310.3246060680249,133.01519234572785,139.77453429789483,6.7593425436864925,experiments/mnist/outputs/benchmark/vmf/dim_2/seed_0
vmf,10,11,1,40,83.91770326638523,103.40700357171553,19.48930045019222,467.82994410705567,644.3195495605469,839.5945434570312,293.6902894579689,83.97248782387263,103.4617879360537,19.48930045019222,experiments/mnist/outputs/benchmark/vmf/dim_10/seed_1
vmf,10,11,4,39,83.4369220009333,103.0310564644729,19.594134197959416,478.569808543396,676.0033508300781,945.582763671875,294.0950074780267,83.70870633668537,103.28534553624407,19.576639730719073,experiments/mnist/outputs/benchmark/vmf/dim_10/seed_4
vmf,10,11,3,40,82.99135000494462,102.68355676192272,19.692206418966943,485.72259943389895,655.5372467041014,838.536865234375,293.5755385670345,82.97877434839177,102.67098062249678,19.692206418966943,experiments/mnist/outputs/benchmark/vmf/dim_10/seed_3
vmf,10,11,2,40,83.43041905270347,103.0391859223571,19.60876720766478,476.1720622772217,632.8295684814453,815.8231811523438,293.4444286840153,83.45601547820658,103.06478273415867,19.60876720766478,experiments/mnist/outputs/benchmark/vmf/dim_10/seed_2
vmf,10,11,0,40,83.13091278076172,102.71094976497602,19.580036791065073,476.4326118728638,649.0204620361328,854.2028198242188,293.390925596992,83.1561137332192,102.73615052428427,19.580036791065073,experiments/mnist/outputs/benchmark/vmf/dim_10/seed_0
vmf,20,21,1,39,77.00334717955771,103.59269685383084,26.589350012284292,279.4200775680542,407.1065979003906,548.06005859375,296.24804003804456,77.17268390896955,103.63378664813465,26.46110312546356,experiments/mnist/outputs/benchmark/vmf/dim_20/seed_1
vmf,20,21,4,40,77.36087721812574,103.75490628013128,26.394029086149192,275.3572413887024,411.38850097656245,564.8599853515625,296.2213867820101,77.38226791574985,103.77629688118077,26.394029086149192,experiments/mnist/outputs/benchmark/vmf/dim_20/seed_4
vmf,20,21,3,40,76.63171087337446,103.18662358537505,26.55491254299502,281.13593607330324,426.2989334106445,592.1674194335938,296.29605841700686,76.83425362502473,103.38916614387608,26.55491254299502,experiments/mnist/outputs/benchmark/vmf/dim_20/seed_3
vmf,20,21,2,24,177.86036546924447,179.7146905826617,1.8543252567701702,9.9958151386261,10.040583753585816,10.143733024597168,306.5612549019861,177.6887780684459,179.54560658901553,1.856827904906454,experiments/mnist/outputs/benchmark/vmf/dim_20/seed_2
vmf,20,21,0,40,77.38880215415472,103.86844200424001,26.47964004323452,277.6873764572143,415.7058853149414,569.9758911132812,296.8386972420267,77.43920985354653,103.91885047622874,26.47964004323452,experiments/mnist/outputs/benchmark/vmf/dim_20/seed_0
vmf,5,6,1,40,105.33644780026206,117.56763738318335,12.231189715711377,581.7946591339112,740.9024993896484,941.7617797851562,293.907137289003,105.44117051136645,117.6723605771608,12.231189715711377,experiments/mnist/outputs/benchmark/vmf/dim_5/seed_1
vmf,5,6,4,40,104.36113207853293,116.6811611320399,12.320029560523697,607.5330146331787,828.6603393554683,1127.423828125,293.80960384197533,104.30716444570807,116.62719359578965,12.320029560523697,experiments/mnist/outputs/benchmark/vmf/dim_5/seed_4
vmf,5,6,3,40,104.23034658311289,116.56717952293685,12.336833410625216,606.9050263885498,772.7809936523437,940.3448486328125,294.30234318296425,104.24944315077383,116.58627667004549,12.336833410625216,experiments/mnist/outputs/benchmark/vmf/dim_5/seed_3
vmf,5,6,2,39,104.45437564125544,116.74640317506427,12.29202772695807,589.8956401245117,658.0256530761718,738.9208984375,294.4664149490418,104.3639002932778,116.64706015285057,12.28315961813625,experiments/mnist/outputs/benchmark/vmf/dim_5/seed_2
vmf,5,6,0,37,104.3914632676523,116.65030013458639,12.258836806574955,588.1725375335693,756.5550170898437,1000.5292358398438,294.37214734900044,104.4551428299916,116.75649213187302,12.301349084588546,experiments/mnist/outputs/benchmark/vmf/dim_5/seed_0
